c1,c2,c3,place,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Families in the group (Number),Total,"Single people, total",Kerteminde,5423,5537,5590,5567,5666,5825,5955,5926,5972,6091
Families in the group (Number),Total,"Single people, total",Langeland,3659,3693,3782,3832,3918,3938,3948,3970,3956,4014
Families in the group (Number),Total,"Single people, total",Middelfart,8364,8364,8480,8576,8699,8902,9058,9213,9370,9544
Families in the group (Number),Total,"Single people, total",Nordfyns,6314,6518,6594,6696,6772,6932,7003,7144,7124,7225
Families in the group (Number),Total,"Single people, total",Nyborg,7894,8079,8153,8314,8376,8421,8524,8605,8733,8827
Families in the group (Number),Total,"Single people, total",Odense,60923,62385,62838,64022,65406,66169,66907,67634,68259,68814
Families in the group (Number),Total,"Single people, total",Svendborg,15684,16029,16275,16504,16615,16444,16820,16994,17150,17279
Families in the group (Number),Total,"Single people, total",Ærø,2059,2092,2109,2094,2054,2044,2064,2075,2056,2103
Families in the group (Number),Total,"Single people, total",Billund,5725,5812,5846,5931,5994,6082,6192,6275,6398,6586
Families in the group (Number),Total,"Single people, total",Esbjerg,29794,30265,30228,30502,30498,30899,31309,31578,31681,32049
Families in the group (Number),Total,"Single people, total",Fanø,856,872,870,912,914,926,940,943,954,937
Families in the group (Number),Total,"Single people, total",Fredericia,13164,13287,13343,13810,13972,13992,14149,14518,14760,15038
Families in the group (Number),Total,"Single people, total",Haderslev,13849,13953,14040,14127,14329,14512,14614,14856,14757,15153
Families in the group (Number),Total,"Single people, total",Kolding,22075,22353,22810,22984,23359,23487,23762,24037,24615,24960
Families in the group (Number),Total,"Single people, total",Sønderborg,18375,18639,18758,18897,19117,19474,19644,19706,19971,20298
Families in the group (Number),Total,"Single people, total",Tønder,8967,9013,9103,9207,9191,9305,9459,9448,9500,9714
Families in the group (Number),Total,"Single people, total",Varde,10499,10807,10873,11018,11072,11115,11213,11329,11521,11786
Families in the group (Number),Total,"Single people, total",Vejen,8928,9127,9150,9282,9404,9649,9785,9870,10020,10225
Families in the group (Number),Total,"Single people, total",Vejle,26228,26587,26955,27395,27652,27869,28543,29279,29740,30272
Families in the group (Number),Total,"Single people, total",Aabenraa,13951,14104,14320,14550,14618,14908,15020,15048,15161,15388
Families in the group (Number),Total,"Single people, total",Favrskov,8480,8591,8729,8995,9033,9057,9228,9307,9442,9653
Families in the group (Number),Total,"Single people, total",Hedensted,8873,9004,9207,9400,9528,9545,9687,9805,10177,10345
Families in the group (Number),Total,"Single people, total",Horsens,21283,21710,22048,22361,22713,22877,23536,24509,25299,25936
Families in the group (Number),Total,"Single people, total",Norddjurs,10221,10568,10601,10715,10779,10708,10866,10925,10965,11052
Families in the group (Number),Total,"Single people, total",Odder,4790,4887,4956,5101,5138,5177,5255,5271,5335,5513
Families in the group (Number),Total,"Single people, total",Randers,25632,26004,26433,26617,26833,26959,27400,27856,28509,28693
Families in the group (Number),Total,"Single people, total",Samsø,1144,1148,1149,1149,1167,1163,1166,1212,1208,1216
Families in the group (Number),Total,"Single people, total",Silkeborg,20171,20380,20613,20827,21237,21651,22142,22447,22819,23402
Families in the group (Number),Total,"Single people, total",Skanderborg,10592,10715,10937,11096,11301,11408,11475,11568,11751,12032
Families in the group (Number),Total,"Single people, total",Syddjurs,9504,9591,9705,9875,10098,10208,10350,10498,10643,10695
Families in the group (Number),Total,"Single people, total",Aarhus,107229,108306,110020,112316,114937,117184,119200,122092,124796,127284
Families in the group (Number),Total,"Single people, total",Herning,20124,20591,20890,21099,21233,21475,21791,21988,22218,22451
Families in the group (Number),Total,"Single people, total",Holstebro,13411,13411,13669,13844,14030,14172,14355,14590,14713,14838
Families in the group (Number),Total,"Single people, total",Ikast-Brande,8608,8694,8881,9031,9211,9298,9492,9751,9976,10212
Families in the group (Number),Total,"Single people, total",Lemvig,4543,4593,4613,4677,4688,4681,4637,4587,4593,4812
Families in the group (Number),Total,"Single people, total",Ringkøbing-Skjern,12137,12326,12390,12543,12652,12830,12862,12947,13027,13265
Families in the group (Number),Total,"Single people, total",Skive,11259,11224,11328,11494,11593,11615,11785,11764,11719,11893
Families in the group (Number),Total,"Single people, total",Struer,4946,5015,5068,5094,5165,5178,5225,5287,5342,5393
Families in the group (Number),Total,"Single people, total",Viborg,22018,22368,22657,23013,23346,23558,23970,24318,24561,24994
Families in the group (Number),Total,"Single people, total",Brønderslev,7922,8017,8050,8226,8213,8286,8285,8463,8560,8649
Families in the group (Number),Total,"Single people, total",Frederikshavn,15346,15608,15826,15851,16064,16055,16154,16108,16227,16495
Families in the group (Number),Total,"Single people, total",Hjørring,15793,16012,16359,16393,16379,16528,16784,16808,17051,17135
Families in the group (Number),Total,"Single people, total",Jammerbugt,8220,8348,8424,8562,8660,8731,8843,8997,9029,9282
Families in the group (Number),Total,"Single people, total",Læsø,555,568,565,567,596,603,603,628,633,625
Families in the group (Number),Total,"Single people, total",Mariagerfjord,9890,10016,10061,10258,10425,10479,10612,10715,10655,10856
Families in the group (Number),Total,"Single people, total",Morsø,5214,5103,5146,5180,5218,5248,5324,5368,5319,5352
Families in the group (Number),Total,"Single people, total",Rebild,5443,5514,5512,5662,5676,5689,5858,5846,5856,5950
Families in the group (Number),Total,"Single people, total",Thisted,10281,10310,10377,10491,10437,10606,10694,10749,10862,10929
Families in the group (Number),Total,"Single people, total",Vesthimmerlands,8844,8967,9003,9168,9254,9251,9315,9259,9370,9535
Families in the group (Number),Total,"Single people, total",Aalborg,62106,62897,63481,64218,65145,65977,67874,69249,69765,70648
Families in the group (Number),"Less than 200,000 DKK","Families, total",All Denmark,549844,539702,530210,513086,491578,464554,436688,397701,382463,348661
Families in the group (Number),"Less than 200,000 DKK","Families, total",Copenhagen,104664,103081,101702,100739,98543,94881,92007,84330,80731,74540
Families in the group (Number),"Less than 200,000 DKK","Families, total",Frederiksberg,14180,13686,13398,12814,11830,11002,10243,9461,9409,8250
Families in the group (Number),"Less than 200,000 DKK","Families, total",Dragør,707,698,720,686,619,610,580,527,456,439
Families in the group (Number),"Less than 200,000 DKK","Families, total",Tårnby,3221,3162,3141,2950,2774,2603,2326,2103,1917,1797
Families in the group (Number),"Less than 200,000 DKK","Families, total",Albertslund,2773,2718,2669,2607,2503,2471,2296,1997,1879,1701
Families in the group (Number),"Less than 200,000 DKK","Families, total",Ballerup,3349,3085,2933,2806,2683,2613,2603,2285,2322,2221
Families in the group (Number),"Less than 200,000 DKK","Families, total",Brøndby,2855,2844,2784,2832,2644,2603,2538,2393,2377,2292
Families in the group (Number),"Less than 200,000 DKK","Families, total",Gentofte,6125,5984,6026,6101,5569,5164,5063,4357,4575,4027
Families in the group (Number),"Less than 200,000 DKK","Families, total",Gladsaxe,5899,5853,5861,5792,5543,5002,4642,4224,4229,3889
Families in the group (Number),"Less than 200,000 DKK","Families, total",Glostrup,1845,1843,1773,1696,1620,1587,1497,1334,1326,1239
Families in the group (Number),"Less than 200,000 DKK","Families, total",Herlev,2133,2076,2107,1996,1920,1793,1723,1564,1574,1405
Families in the group (Number),"Less than 200,000 DKK","Families, total",Hvidovre,4485,4406,4393,4240,4131,3806,3666,3280,3029,2802
Families in the group (Number),"Less than 200,000 DKK","Families, total",Høje-Taastrup,3854,3922,3903,3875,3715,3363,3377,3170,3217,3078
Families in the group (Number),"Less than 200,000 DKK","Families, total",Ishøj,1762,1793,1810,1836,1783,1766,1692,1485,1440,1338
Families in the group (Number),"Less than 200,000 DKK","Families, total",Lyngby-Taarbæk,4827,4827,4770,4911,4634,4223,4338,4291,4327,3825
Families in the group (Number),"Less than 200,000 DKK","Families, total",Rødovre,3120,2973,2929,2890,2815,2686,2577,2330,2281,2136
Families in the group (Number),"Less than 200,000 DKK","Families, total",Vallensbæk,801,818,831,897,955,930,830,720,755,722
Families in the group (Number),"Less than 200,000 DKK","Families, total",Allerød,891,906,902,935,875,821,795,737,721,665
Families in the group (Number),"Less than 200,000 DKK","Families, total",Egedal,1629,1689,1773,1797,1729,1606,1426,1409,1320,1269
Families in the group (Number),"Less than 200,000 DKK","Families, total",Fredensborg,2153,2166,2251,2171,2017,1903,1831,1677,1708,1530
Families in the group (Number),"Less than 200,000 DKK","Families, total",Frederikssund,2774,2789,2737,2697,2526,2364,2177,1965,1854,1675
Families in the group (Number),"Less than 200,000 DKK","Families, total",Furesø,1872,2002,2034,1951,1923,1725,1540,1291,1318,1182
Families in the group (Number),"Less than 200,000 DKK","Families, total",Gribskov,2919,2919,2872,2797,2708,2552,2230,2051,2054,1787
Families in the group (Number),"Less than 200,000 DKK","Families, total",Halsnæs,2361,2350,2246,2149,1961,1881,1676,1472,1431,1239
Families in the group (Number),"Less than 200,000 DKK","Families, total",Helsingør,4594,4403,4353,4278,4022,3733,3386,2961,2881,2550
Families in the group (Number),"Less than 200,000 DKK","Families, total",Hillerød,3022,2936,2979,3085,2998,2675,2490,2472,2464,2173
Families in the group (Number),"Less than 200,000 DKK","Families, total",Hørsholm,1356,1324,1330,1264,1268,1098,971,900,1039,859
Families in the group (Number),"Less than 200,000 DKK","Families, total",Rudersdal,3275,3228,3254,3120,3125,2908,2753,2423,2622,2199
Families in the group (Number),"Less than 200,000 DKK","Families, total",Bornholm,3881,3872,3682,3364,3179,2821,2556,2231,2102,1725
Families in the group (Number),"Less than 200,000 DKK","Families, total",Greve,2621,2631,2609,2591,2546,2534,2433,2164,2217,1976
Families in the group (Number),"Less than 200,000 DKK","Families, total",Køge,3913,3916,3896,3720,3512,3314,3114,2891,2858,2613
Families in the group (Number),"Less than 200,000 DKK","Families, total",Lejre,1470,1446,1371,1336,1251,1186,1097,1026,978,916
Families in the group (Number),"Less than 200,000 DKK","Families, total",Roskilde,7457,7445,7177,6815,6344,6032,5659,5093,4771,4090
Families in the group (Number),"Less than 200,000 DKK","Families, total",Solrød,1017,983,975,970,949,872,801,703,712,626
Families in the group (Number),"Less than 200,000 DKK","Families, total",Faxe,2496,2595,2575,2505,2366,2186,1989,1792,1664,1521
Families in the group (Number),"Less than 200,000 DKK","Families, total",Guldborgsund,6360,6355,6131,5868,5525,5098,4428,3910,3607,3155
Families in the group (Number),"Less than 200,000 DKK","Families, total",Holbæk,5185,5097,5052,4894,4625,4378,4035,3645,3287,2993
Families in the group (Number),"Less than 200,000 DKK","Families, total",Kalundborg,4042,3842,3701,3572,3346,3078,2858,2450,2312,1907
Families in the group (Number),"Less than 200,000 DKK","Families, total",Lolland,4912,4750,4627,4344,4059,3682,3314,2896,2581,2064
Families in the group (Number),"Less than 200,000 DKK","Families, total",Næstved,6921,6913,6892,6699,6351,5905,5304,4772,4574,4149
Families in the group (Number),"Less than 200,000 DKK","Families, total",Odsherred,3169,3124,3030,2865,2699,2431,2215,1946,1766,1593
Families in the group (Number),"Less than 200,000 DKK","Families, total",Ringsted,2381,2333,2306,2271,2139,2020,1878,1647,1547,1510
Families in the group (Number),"Less than 200,000 DKK","Families, total",Slagelse,7116,7052,6974,6619,6264,5834,5386,4806,4494,4051
Families in the group (Number),"Less than 200,000 DKK","Families, total",Sorø,2063,1949,1965,1829,1721,1566,1461,1230,1214,1078
Families in the group (Number),"Less than 200,000 DKK","Families, total",Stevns,1615,1620,1613,1541,1442,1255,1097,1001,977,849
Families in the group (Number),"Less than 200,000 DKK","Families, total",Vordingborg,4282,4375,4315,4143,3860,3686,3201,2807,2782,2428
Families in the group (Number),"Less than 200,000 DKK","Families, total",Assens,2957,2927,2791,2666,2451,2259,2043,1802,1596,1467
Families in the group (Number),"Less than 200,000 DKK","Families, total",Faaborg-Midtfyn,3864,3725,3680,3482,3298,3028,2706,2410,2191,1942
Families in the group (Number),"Less than 200,000 DKK","Families, total",Kerteminde,1608,1573,1546,1401,1326,1262,1147,1004,936,822
Families in the group (Number),"Less than 200,000 DKK","Families, total",Langeland,1445,1425,1336,1242,1216,1101,957,881,822,674
Families in the group (Number),"Less than 200,000 DKK","Families, total",Middelfart,2368,2222,2154,2000,1848,1721,1575,1465,1421,1273
Families in the group (Number),"Less than 200,000 DKK","Families, total",Nordfyns,2167,2135,2025,1909,1750,1717,1551,1377,1261,1170
Families in the group (Number),"Less than 200,000 DKK","Families, total",Nyborg,2303,2264,2183,2074,1936,1768,1607,1461,1405,1205
Families in the group (Number),"Less than 200,000 DKK","Families, total",Odense,26714,26835,26363,26180,25677,24880,23526,21605,20454,18438
Families in the group (Number),"Less than 200,000 DKK","Families, total",Svendborg,5503,5440,5452,5234,4973,4533,4421,4031,3748,3365
Families in the group (Number),"Less than 200,000 DKK","Families, total",Ærø,895,888,844,779,699,621,581,563,536,513
Families in the group (Number),"Less than 200,000 DKK","Families, total",Billund,1898,1839,1770,1623,1480,1351,1332,1199,1073,1005
Families in the group (Number),"Less than 200,000 DKK","Families, total",Esbjerg,10212,9963,9567,9101,8409,7866,7345,6660,5885,5186
Families in the group (Number),"Less than 200,000 DKK","Families, total",Fanø,236,230,216,211,208,173,158,156,139,123
Families in the group (Number),"Less than 200,000 DKK","Families, total",Fredericia,4248,4037,3831,3693,3434,3184,2958,2721,2592,2347
Families in the group (Number),"Less than 200,000 DKK","Families, total",Haderslev,4834,4562,4376,4039,3865,3559,3207,2886,2640,2388
